"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"49","Guam","2,421","416","52,017","GUM","Guam","Micronesia",170,315.2,"Hagåtña",146.9,NA,"541",101.7,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Tunisia","2,381","29,423","1,153,361","TUN","Tunisia","Northern Africa",11936,76.8,"Tunis",2327.8,"12-Nov-56","163610",98.4,"Tunisian Dinar (TND)",2.7,38797,1,3317.5,106,"13854",18392,-4538,-3284,69.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tunisia",26.9,"Tunisia","7,218,871",58.42
"51","Sweden","2,354","24,834","2,717,141","SWE","Sweden","Northern Europe",10160,24.8,"Stockholm",1608,"19-Nov-46","438574",100.4,"Swedish Krona (SEK)",8.2,530884,1.3,52896,100,"155608",149792,5816,28188,87.7,"Sweden","Europe",2.59,2.54,2.44,2.34,2.22,NA,5.8," 570","Sweden",20.6,"Sweden","7,775,726",73.71
"52","Saint Lucia","2,279","410","30,082","LCA","Saint Lucia","Caribbean",184,302.3,"Castries",22.3,"18-Sep-79","539",97,"E. Caribbean Dollar (XCD)d",2.7,2122,1.7,11611.4,104,"115",539,-424,103,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Lucia",19.7,"Saint Lucia","60,140",33.43
"53","Suriname","2,278","1,408","82,588","SUR","Suriname","South America",592,3.8,"Paramaribo",239.5,"04-Dec-75","163820",101,"Surinam Dollar (SRD)",14.2,3697,0.3,6359.6,99,"1686",2047,-361,275,66.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suriname",26.4,"Suriname","267,820",45.26
"54","Uruguay","2,230","7,634","1,039,238","URY","Uruguay","South America",3485,19.9,"Montevideo",1744.7,"18-Dec-45","173626",93.6,"Peso Uruguayo (UYU)",42.3,56046,0.2,16190.1,102,"6853",7564,-711,-297,95.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uruguay",27.9,"Uruguay","3,010,373",87.95
"55","Liechtenstein","2,210","87","21,491","LIE","Liechtenstein","Western Europe",38,239.1,"Vaduz",5.5,"18-Sep-90","160",NA,"Swiss Franc (CHF)",0.9,6798,0.6,178799.4,NA,NA,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liechtenstein","26,771",68.02
"56","Barbados","2,201","620","110,023","BRB","Barbados","Caribbean",288,669.1,"Bridgetown",89.2,"09-Dec-66","431",93.9,"Barbados Dollar (BBD)",2,5209,-0.1,18149,106,"345",1501,-1156,-453,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbados",23.1,"Barbados","163,846",58.17
"57","Estonia","2,188","2,902","602,187","EST","Estonia","Northern Europe",1325,31.3,"Tallinn",441.3,"17-Sep-91","45261",90.3,"Euro (EUR)",0.8,31471,5,23740.2,107,NA,NA,NA,-244,69.1,"Estonia","Europe",5.01,5.01,4.96,4.76,4.69,70.4,14.6,NA,"Estonia",21.2,"Estonia","869,431",65.56
"58","French Polynesia","2,118","649","78,632","PYF","French Polynesia","Polynesia",282,77.2,"Papeete",136,NA,"3687",102.5,"CFP Franc (XPF)d",97.2,6023,2.4,21566.9,97,"71",1701,-1630,412,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Polynesia","190,908",62.33
