"","Country","Region","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","iso3c"
"66","El Salvador","Central America",6518,314.6,"San Salvador",1105.7,"24-Oct-45","21041",87.9,"US Dollar (USD)",NA,27023,2.4,4187.2,100,"5030",10594,-5564,121,72.7,"SLV"
"67","Equatorial Guinea","Middle Africa",1450,51.7,"Malabo",296.8,"12-Nov-68","28052",125.4,"CFA Franc, BEAC (XAF)c",534.6,11025,-5.6,8130.4,109,NA,NA,NA,NA,72.6,"GNQ"
"68","Eritrea","Eastern Africa",3602,35.7,"Asmara",928.8,"28-May-93","121144",100.5,"Nakfa (ERN)",15.1,1982,3.8,566.7,102,NA,NA,NA,NA,40.7,"ERI"
"69","Estonia","Northern Europe",1325,31.3,"Tallinn",441.3,"17-Sep-91","45261",90.3,"Euro (EUR)",0.8,31471,5,23740.2,107,NA,NA,NA,-244,69.1,"EST"
"70","Eswatini","Southern Africa",1172,68.2,"Mbabanec",68,"24-Sep-68","17363",97,"Lilangeni (SZL)",14.6,4594,1.1,4001.6,101,"2248",2076,172,255,24,"SWZ"
"71","Ethiopia","Eastern Africa",117876,117.9,"Addis Ababa",4592,"13-Nov-45","1104300",100.1,"Ethiopian Birr (ETB)",39.2,92750,8.3,827.5,108,"2265",4509,-2244,-2719,21.2,"ETH"
"72","Falkland Islands (Malvinas)","South America",4,0.3,"Stanley",2.3,NA,"12173",NA,"Falkland Islands Pound (FKP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLK"
"73","Faroe Islands","Northern Europe",49,35.1,"Tórshavn",20.8,NA,"1393",NA,"Danish Krone (DKK)",6.1,NA,NA,NA,96,NA,NA,NA,NA,42.2,"FRO"
"74","Fiji","Melanesia",903,49.4,"Suva",178.3,"13-Oct-70","18272",102.5,"Fiji Dollar (FJD)",2,5504,0.5,6185.1,114,"771",1901,-1130,-602,56.8,"FJI"
"75","Finland","Northern Europe",5548,18.3,"Helsinki",1292.2,"14-Dec-55","336872",97.4,"Euro (EUR)",0.8,269296,1.1,48678.4,102,"65600",67878,-2279,2342,NA,"FIN"
"76","France","Western Europe",65426,119.5,"Paris",10958.2,"24-Oct-45","551500",93.8,"Euro (EUR)",0.8,NA,NA,NA,98,"488562",582775,-94213,-48911,80.7,"FRA"
"77","French Guiana","South America",306,3.7,"Cayenne",57.5,NA,"83534",98,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,85.6,"GUF"
"78","French Polynesia","Polynesia",282,77.2,"Papeete",136,NA,"3687",102.5,"CFP Franc (XPF)d",97.2,6023,2.4,21566.9,97,"71",1701,-1630,412,61.9,"PYF"
"79","Gabon","Middle Africa",2279,8.8,"Libreville",823.9,"20-Sep-60","267668",103.6,"CFA Franc, BEAC (XAF)c",534.6,16888,3.6,7773.2,107,NA,NA,NA,NA,89.7,"GAB"
"80","Gambia","Western Africa",2487,245.7,"Banjul",443.4,"21-Sep-65","11295",98.4,"Dalasi (GMD)",51.6,1823,6.1,776.4,92,"26",553,-527,-79,61.9,"GMB"
"81","Georgia","Western Asia",3980,57.3,"Tbilisi",1077.3,"31-Jul-92","69700",91,"Lari (GEL)",3.3,17743,5.1,4439.3,105,"3342",8031,-4689,-1965,NA,"GEO"
"82","Germany","Western Europe",83900,240.7,"Berlin",3556.8,"18-Sep-73","357582",97.9,"Euro (EUR)",0.8,3861124,0.6,46231.6,94,"1382851",1171421,211430,266326,77.4,"DEU"
"83","Ghana","Western Africa",31732,139.5,"Accra",2475.2,"08-Mar-57","238537",102.8,"Ghana Cedi (GHS)",5.8,66999,6.5,2202.6,118,NA,NA,NA,-1864,56.7,"GHA"
"84","Gibraltar","Southern Europe",34,3369.1,"Gibraltar",34.7,NA,"6",NA,"Gibraltar Pound (GIP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,100,"GIB"
"85","Greece","Southern Europe",10371,80.5,"Athens",3154.2,"25-Oct-45","131957",96.4,"Euro (EUR)",0.8,205327,1.9,19604.5,74,"35070",55534,-20463,-12618,79.4,"GRC"
"86","Greenland","Northern America",57,0.1,"Nuuk",18.4,NA,"2166086",NA,"Danish Krone (DKK)",6.1,3024,2.8,53352.6,NA,"748",791,-43,NA,87.1,"GRL"
"87","Grenada","Caribbean",113,332.4,"Saint George's",39.3,"17-Sep-74","345",101.4,"E. Caribbean Dollar (XCD)c",2.7,1212,2,10817.7,85,"25",395,-370,-116,36.4,"GRD"
"88","Guadeloupe","Caribbean",400,245.7,"Basse-Terre",58.4,NA,"1639",85.5,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLP"
"89","Guam","Micronesia",170,315.2,"Hagåtña",146.9,NA,"541",101.7,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"GUM"
"90","Guatemala","Central America",18250,170.3,"Guatemala City",2891.2,"21-Nov-45","108889",97.2,"Quetzal (GTQ)",7.8,76710,3.8,4363.1,106,"11658",18198,-6539,4249,51.4,"GTM"
"91","Guinea","Western Africa",13497,54.9,"Conakry",1889.2,"12-Dec-58","245836",94,"Guinean Franc (GNF)",9400.8,12354,5.6,967.4,125,"3167",3389,-222,-315,36.5,"GIN"
"92","Guinea-Bissau","Western Africa",2016,71.7,"Bissau",578.8,"17-Sep-74","36125",95.9,"CFA Franc, BCEAO (XOF)c",534.6,1322,4.5,688.4,107,NA,NA,NA,-127,43.8,"GNB"
"93","Guyana","South America",790,4,"Georgetown",109.9,"20-Sep-66","214969",101.3,"Guyana Dollar (GYD)",208.5,5174,5.4,6609.6,132,"2814",2494,320,-1696,26.7,"GUY"
"94","Haiti","Caribbean",11542,418.8,"Port-au-Prince",2704.2,"24-Oct-45","27750",97.4,"Gourde (HTG)",72.2,8051,-0.9,714.8,92,NA,NA,NA,72,56.2,"HTI"
"95","Holy See","Southern Europe",1,1845.5,"Vatican City",0.8,NA,"~0",NA,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,100,"VAT"
"96","Honduras","Central America",10063,89.9,"Tegucigalpa",1403.2,"17-Dec-45","112492",99.9,"Lempira (HNL)",24.1,25095,2.7,2574.9,116,"3110",7921,-4811,694,57.7,"HND"
"97","Hungary","Eastern Europe",9634,106.4,"Budapest",1763.9,"14-Dec-55","93023",90.9,"Forint (HUF)",297.4,163469,4.6,16879.1,97,"119391",112624,6767,167,71.6,"HUN"
"98","Iceland","Northern Europe",343,3.4,"Reykjavik",216.4,"19-Nov-46","103000",101,"Iceland Krona (ISK)",127.2,24188,1.9,71344.6,107,"4560",5671,-1111,244,93.9,"ISL"
"99","India","Southern Asia",1393409,468.7,"New Delhi",29399.1,"30-Oct-45","3287263",108.1,"Indian Rupee (INR)",73,2891582,4.2,2116.2,114,"275489",367980,-92492,33007,34.5,"IND"
"100","Indonesia","South-eastern Asia",276362,152.6,"Jakarta",10638.7,"28-Sep-50","1910931",101.4,"Rupiah (IDR)",14105,1119191,5,4135.6,117,NA,NA,NA,-4341,56,"IDN"
"101","Iran (Islamic Republic of)","Southern Asia",85029,52.2,"Tehran",9013.7,"24-Oct-45","1628777",101.9,"Iranian Rial (IRR)",42000,603780,-6.5,7282,96,NA,NA,NA,NA,75.4,"IRN"
"102","Iraq","Western Asia",41179,94.8,"Baghdad",6974.4,"21-Dec-45","435052",102.5,"Iraqi Dinar (IQD)",1450,225232,4.4,5729.7,120,"2582",27611,-25029,-6197,70.7,"IRQ"
"103","Ireland","Northern Europe",4983,72.3,"Dublin",1214.7,"14-Dec-55","69825",98.7,"Euro (EUR)",0.8,398590,5.6,81636.6,113,"184131",98389,85742,-44934,63.4,"IRL"
"104","Isle of Man","Northern Europe",85,149.8,"Douglas",27.2,NA,"572",NA,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,52.7,"IMN"
"105","Israel","Western Asia",8790,406.2,"Jerusalemc",919.4,"11-May-49","22072",99.2,"New Israeli Sheqel (ILS)",3.2,395099,3.5,46376.5,95,"49761",70162,-20401,24350,92.5,"ISR"
"106","Italy","Southern Europe",60368,205.2,"Rome",4234,"14-Dec-55","302069",95,"Euro (EUR)",0.8,2003576,0.3,33089.6,98,"495977",422648,73329,69735,70.7,"ITA"
"107","Jamaica","Caribbean",2974,274.6,"Kingston",589.8,"18-Sep-62","10990",98.5,"Jamaican Dollar (JMD)",141.7,15831,0.9,5369.5,105,"1190",4651,-3461,-35,56,"JAM"
"108","Japan","Eastern Asia",126051,345.8,"Tokyo",37435.2,"18-Dec-56","377930",95.4,"Yen (JPY)",103.6,5082466,0.7,40063.5,100,"641283",635402,5880,164497,91.7,"JPN"
"109","Jordan","Western Asia",10269,115.7,"Amman",2108.5,"14-Dec-55","89318",102.6,"Jordanian Dinar (JOD)",0.7,44503,2,4405.5,95,"7646",16889,-9242,-1003,91.2,"JOR"
"110","Kazakhstan","Central Asia",18995,7,"Nur-Sultan",1117.6,"02-Mar-92","2724902",94.4,"Tenge (KZT)",420.9,181667,4.5,9792.6,111,"44929",37855,7074,-6273,57.5,"KAZ"
"111","Kenya","Eastern Africa",54986,96.6,"Nairobi",4556.4,"16-Dec-63","591958",98.8,"Kenyan Shilling (KES)",109.2,95502,5.4,1816.5,111,"6023",15405,-9382,-5559,27.5,"KEN"
"112","Kiribati","Micronesia",121,149.9,"Bairiki",3.2,"14-Sep-99","726",96.8,"Australian Dollar (AUD)",1.3,195,2.3,1656.9,93,"4",123,-119,87,54.8,"KIR"
"113","Kuwait","Western Asia",4329,242.9,"Kuwait City",3052.5,"14-May-63","17818",158.5,"Kuwaiti Dinar (KWD)",0.3,134624,0.4,31999.3,132,"72958",37506,35452,33811,100,"KWT"
"114","Kyrgyzstan","Central Asia",6628,34.6,"Bishkek",1017.2,"02-Mar-92","199949",97.9,"Som (KGS)",82.6,8455,4.5,1317.8,110,"1864",3387,-1523,-1067,36.6,"KGZ"
"115","Lao People's Democratic Republic","South-eastern Asia",7379,32,"Vientiane",673.1,"14-Dec-55","236800",100.8,"Lao Kip (LAK)",9274,18823,4.7,2625.4,102,"5669",6309,-639,-947,35.6,"LAO"
"116","Latvia","Northern Europe",1867,30,"Riga",633.8,"17-Sep-91","64573",85.6,"Euro (EUR)",0.8,34103,2.1,17885.4,104,"15154",17334,-2181,1004,68.2,"LVA"
"117","Lebanon","Western Asia",6769,661.7,"Beirut",2406.9,"24-Oct-45","10452",101.5,"Lebanese Pound (LBP)",1507.5,53367,-5.6,7784.3,101,"3468",15472,-12004,-11540,88.8,"LBN"
"118","Lesotho","Southern Africa",2159,71.1,"Maseru",201.9,"17-Oct-66","30355",97.5,"Loti (LSL)",14.6,2460,1.5,1157.5,96,"2250",1500,750,-52,28.6,"LSO"
"119","Liberia","Western Africa",5180,53.8,"Monrovia",1467,"02-Nov-45","111369",101.2,"Liberian Dollar (LRD)",164.2,2582,-2.3,523,92,NA,NA,NA,-653,51.6,"LBR"
"120","Libya","Northern Africa",6958,4,"Tripoli",1160.9,"14-Dec-55","1676198",101.9,"Libyan Dinar (LYD)",1.4,32600,9.9,4810.1,102,"66843",28468,38375,11276,80.4,"LBY"
"121","Liechtenstein","Western Europe",38,239.1,"Vaduz",5.5,"18-Sep-90","160",NA,"Swiss Franc (CHF)",0.9,6798,0.6,178799.4,NA,NA,NA,NA,NA,14.4,"LIE"
"122","Lithuania","Northern Europe",2690,42.9,"Vilnius",537.6,"17-Sep-91","65286",86.2,"Euro (EUR)",0.8,54627,4.3,19795.2,94,"32753",33125,-372,4700,67.9,"LTU"
"123","Luxembourg","Western Europe",635,245.1,"Luxembourg",119.8,"24-Oct-45","2586",102.4,"Euro (EUR)",0.8,71105,2.3,115480.9,111,"13442",20610,-7167,2999,91.2,"LUX"
"124","Madagascar","Eastern Africa",28427,48.9,"Antananarivo",3210.4,"20-Sep-60","587041",99.6,"Malagasy Ariary (MGA)",3824.8,14105,4.4,523,104,"2005",2968,-963,-331,37.9,"MDG"
"125","Malawi","Eastern Africa",19648,208.4,"Lilongwe",1074.7,"01-Dec-64","117726",97.3,"Malawi Kwacha (MWK)",773.1,8099,5.2,434.8,129,"632",2406,-1775,-1837,17.2,"MWI"
"126","Malaysia","South-eastern Asia",32776,99.8,"Kuala Lumpurd",7780.3,"17-Sep-57","330621",105.6,"Malaysian Ringgit (MYR)",4,364684,4.3,11414.3,105,"234042",189804,44238,14848,NA,"MYS"
